"","cell_ID","cell_types"
"c_1_60_2085","c_1_60_2085","Acinar.1"
"c_1_60_2152","c_1_60_2152","Beta cells"
"c_1_60_2267","c_1_60_2267","Beta cells"
"c_1_60_2273","c_1_60_2273","Acinar.1"
"c_1_60_2302","c_1_60_2302","Acinar.2"
"c_1_60_2385","c_1_60_2385","Gamma cells"
"c_1_60_28","c_1_60_28","Acinar.1"
"c_1_60_339","c_1_60_339","Acinar.1"
"c_1_60_361","c_1_60_361","Acinar.1"
"c_1_60_37","c_1_60_37","Acinar.1"
"c_1_60_52","c_1_60_52","Acinar.1"
"c_1_60_573","c_1_60_573","Acinar.1"
"c_1_60_597","c_1_60_597","Ductal"
"c_1_60_789","c_1_60_789","Acinar.1"
"c_1_60_838","c_1_60_838","Acinar.2"
"c_1_60_859","c_1_60_859","Quiescent stellate"
"c_1_60_974","c_1_60_974","Acinar.1"
"c_1_61_1067","c_1_61_1067","Acinar.1"
"c_1_61_109","c_1_61_109","Macrophage"
"c_1_61_1289","c_1_61_1289","Acinar.1"
"c_1_61_1361","c_1_61_1361","Acinar.1"
"c_1_61_1429","c_1_61_1429","Acinar.1"
"c_1_61_1619","c_1_61_1619","Acinar.1"
"c_1_61_1632","c_1_61_1632","Acinar.1"
"c_1_61_1656","c_1_61_1656","Acinar.2"
"c_1_61_1750","c_1_61_1750","Ductal"
"c_1_61_1759","c_1_61_1759","Ductal"
"c_1_61_1784","c_1_61_1784","Acinar.1"
"c_1_61_1785","c_1_61_1785","Acinar.2"
"c_1_61_1788","c_1_61_1788","Acinar.1"
"c_1_61_1821","c_1_61_1821","Acinar.1"
"c_1_61_1833","c_1_61_1833","Acinar.1"
"c_1_61_1863","c_1_61_1863","Acinar.1"
"c_1_61_1872","c_1_61_1872","Acinar.1"
"c_1_61_1879","c_1_61_1879","Alpha cells"
"c_1_61_1884","c_1_61_1884","Beta cells"
"c_1_61_2045","c_1_61_2045","Acinar.1"
"c_1_61_2073","c_1_61_2073","Acinar.1"
"c_1_61_2091","c_1_61_2091","Macrophage"
"c_1_61_2191","c_1_61_2191","Acinar.2"
"c_1_61_2204","c_1_61_2204","Quiescent stellate"
"c_1_61_2210","c_1_61_2210","Acinar.1"
"c_1_61_2332","c_1_61_2332","Ductal"
"c_1_61_2358","c_1_61_2358","Acinar.2"
"c_1_61_2372","c_1_61_2372","Acinar.2"
"c_1_61_2406","c_1_61_2406","Acinar.2"
"c_1_61_2429","c_1_61_2429","Acinar.1"
"c_1_61_243","c_1_61_243","Acinar.1"
"c_1_61_2498","c_1_61_2498","Ductal"
"c_1_61_2540","c_1_61_2540","Acinar.1"
"c_1_61_255","c_1_61_255","Ductal"
"c_1_61_319","c_1_61_319","Acinar.1"
"c_1_61_360","c_1_61_360","Acinar.1"
"c_1_61_438","c_1_61_438","Acinar.2"
"c_1_61_475","c_1_61_475","Acinar.2"
"c_1_61_669","c_1_61_669","Acinar.1"
"c_1_61_734","c_1_61_734","Acinar.1"
"c_1_61_749","c_1_61_749","Acinar.1"
"c_1_61_810","c_1_61_810","Acinar.1"
"c_1_61_821","c_1_61_821","Acinar.1"
"c_1_61_845","c_1_61_845","Active stellate"
"c_1_61_851","c_1_61_851","Ductal"
"c_1_61_950","c_1_61_950","Acinar.2"
"c_1_62_1081","c_1_62_1081","Acinar.1"
"c_1_62_1117","c_1_62_1117","Acinar.1"
"c_1_62_1186","c_1_62_1186","Ductal"
"c_1_62_1304","c_1_62_1304","Acinar.1"
"c_1_62_1358","c_1_62_1358","Acinar.1"
"c_1_62_1415","c_1_62_1415","Ductal"
"c_1_62_1443","c_1_62_1443","Quiescent stellate"
"c_1_62_1484","c_1_62_1484","Acinar.1"
"c_1_62_1490","c_1_62_1490","Acinar.1"
"c_1_62_1549","c_1_62_1549","Acinar.2"
"c_1_62_1618","c_1_62_1618","Acinar.1"
"c_1_62_1651","c_1_62_1651","Acinar.1"
"c_1_62_1695","c_1_62_1695","Acinar.1"
"c_1_62_1765","c_1_62_1765","Acinar.1"
"c_1_62_1874","c_1_62_1874","Active stellate"
"c_1_62_1876","c_1_62_1876","Acinar.1"
"c_1_62_2112","c_1_62_2112","Acinar.1"
"c_1_62_2150","c_1_62_2150","Acinar.1"
"c_1_62_2223","c_1_62_2223","Ductal"
"c_1_62_2236","c_1_62_2236","Acinar.1"
"c_1_62_2256","c_1_62_2256","Ductal"
"c_1_62_299","c_1_62_299","Acinar.1"
"c_1_62_38","c_1_62_38","Acinar.1"
"c_1_62_405","c_1_62_405","Acinar.1"
"c_1_62_42","c_1_62_42","Acinar.1"
"c_1_62_521","c_1_62_521","Acinar.1"
"c_1_62_640","c_1_62_640","Alpha cells"
"c_1_62_7","c_1_62_7","Acinar.1"
"c_1_62_718","c_1_62_718","Acinar.2"
"c_1_62_734","c_1_62_734","Beta cells"
"c_1_62_745","c_1_62_745","Acinar.1"
"c_1_62_768","c_1_62_768","Quiescent stellate"
"c_1_62_819","c_1_62_819","Acinar.2"
"c_1_62_831","c_1_62_831","Acinar.1"
"c_1_62_954","c_1_62_954","Acinar.2"
"c_1_63_1","c_1_63_1","Ductal"
"c_1_63_1010","c_1_63_1010","Acinar.1"
"c_1_63_1026","c_1_63_1026","Acinar.1"
"c_1_63_1053","c_1_63_1053","Acinar.1"
"c_1_63_1072","c_1_63_1072","Acinar.2"
