,cell_types
6-273,tumor
21-524,fibroblast
1-1570,T CD8 naive
6-3885,mast
16-3371,tumor
26-1034,macrophage
11-1653,tumor
26-574,mDC
6-1581,pDC
6-1503,T CD4 naive
11-1274,tumor
11-189,tumor
16-584,neutrophil
6-613,tumor
11-1440,tumor
11-1180,tumor
16-2994,plasmablast
21-1279,T CD4 naive
21-2411,fibroblast
26-392,tumor
1-1294,epithelial
11-420,tumor
21-367,endothelial
6-3299,T CD4 naive
11-3828,tumor
11-3422,tumor
6-3817,T CD4 naive
11-933,tumor
26-2916,fibroblast
26-71,tumor
16-2592,tumor
26-1965,plasmablast
1-1961,endothelial
6-366,tumor
11-1780,tumor
6-3748,fibroblast
16-988,tumor
26-2098,plasmablast
11-1051,tumor
16-1079,tumor
21-1615,mDC
21-279,fibroblast
1-2026,epithelial
6-3668,mast
6-4212,tumor
16-1017,tumor
16-891,plasmablast
16-844,plasmablast
26-855,mDC
26-2935,fibroblast
26-2781,tumor
11-1746,tumor
16-3188,plasmablast
16-192,plasmablast
21-307,fibroblast
26-362,tumor
6-1722,T CD4 naive
6-4156,tumor
1-1390,mast
6-1458,plasmablast
11-1082,tumor
1-526,NK
6-901,Treg
21-994,plasmablast
21-2391,fibroblast
26-3,tumor
11-1242,tumor
11-729,tumor
26-941,macrophage
11-3536,tumor
21-803,endothelial
1-1701,T CD4 naive
1-2010,tumor
6-2661,mast
11-2339,tumor
11-1361,tumor
21-2353,mDC
26-718,fibroblast
6-3341,endothelial
6-1183,epithelial
6-414,tumor
16-2526,tumor
16-2371,tumor
16-3022,T CD4 naive
26-682,fibroblast
1-1604,B-cell
1-650,T CD8 naive
6-3250,T CD4 naive
6-1805,plasmablast
11-3247,tumor
16-3468,tumor
26-3156,plasmablast
1-2261,mast
1-685,T CD4 naive
16-3387,tumor
16-939,tumor
6-3600,T CD8 naive
16-517,plasmablast
21-1486,fibroblast
16-2443,tumor
16-3573,tumor
6-3474,T CD4 naive
11-1977,tumor
11-1710,tumor
21-2436,fibroblast
26-700,fibroblast
16-2,fibroblast
6-3395,plasmablast
6-751,tumor
11-1220,tumor
11-392,tumor
26-1001,fibroblast
16-3595,tumor
1-1224,macrophage
6-1856,endothelial
6-958,plasmablast
16-593,fibroblast
21-386,fibroblast
1-1728,endothelial
11-2427,tumor
11-1295,tumor
6-1997,fibroblast
11-570,tumor
16-1118,tumor
6-3792,T CD4 naive
21-957,plasmablast
6-5139,plasmablast
6-4703,fibroblast
11-3534,tumor
11-3059,tumor
16-2938,plasmablast
1-2361,T CD8 naive
1-363,neutrophil
11-1120,tumor
26-3237,plasmablast
11-3237,tumor
16-2988,fibroblast
26-881,mDC
6-3232,mDC
6-1676,plasmablast
11-1954,tumor
16-1998,tumor
21-899,pDC
6-3137,T CD4 naive
11-1062,tumor
21-2130,fibroblast
21-2371,fibroblast
26-2209,plasmablast
